,Protein,ENSG,UniProt,Source,Score,disease_id
552,DYNLRB1,ENSG00000125971,Q9NP97,uniprot_swissprot,0.3120315992572071,MONDO_0005180
553,COQ5,ENSG00000110871,Q5HYK3,uniprot_swissprot,0.3120315992572071,MONDO_0005180
554,SLC25A6,ENSG00000169100,P12236,uniprot_swissprot,0.31203148956012966,MONDO_0005180
555,NUP88,ENSG00000108559,Q99567,uniprot_swissprot,0.31151604974705943,MONDO_0005180
556,DGKQ,ENSG00000145214,P52824,uniprot_swissprot,0.31141644029213666,MONDO_0005180
557,CTCF,ENSG00000102974,P49711,uniprot_swissprot,0.3110716529314658,MONDO_0005180
558,HLA-DQA2,ENSG00000237541,P01906,uniprot_swissprot,0.3110281473025479,MONDO_0005180
559,ZNF579,ENSG00000218891,Q8NAF0,uniprot_swissprot,0.3109502204288414,MONDO_0005180
560,HNF4G,ENSG00000164749,Q14541,uniprot_swissprot,0.3109502204288414,MONDO_0005180
561,OLFM4,ENSG00000102837,Q6UX06,uniprot_swissprot,0.3101966998469424,MONDO_0005180
562,CORO1C,ENSG00000110880,Q9ULV4,uniprot_swissprot,0.3101966998469424,MONDO_0005180
563,SEC14L1,ENSG00000129657,Q92503,uniprot_swissprot,0.3101966998469424,MONDO_0005180
564,EPS15L1,ENSG00000127527,Q9UBC2,uniprot_swissprot,0.3101966998469424,MONDO_0005180
565,HIPK1,ENSG00000163349,Q86Z02,uniprot_swissprot,0.31019659262950733,MONDO_0005180
566,ACTR2,ENSG00000138071,P61160,uniprot_swissprot,0.3088054172552156,MONDO_0005180
567,HAGH,ENSG00000063854,Q16775,uniprot_swissprot,0.3083666455546618,MONDO_0005180
568,SLC7A14,ENSG00000013293,Q8TBB6,uniprot_swissprot,0.30836642846874623,MONDO_0005180
569,RGMB,ENSG00000174136,Q6NW40,uniprot_swissprot,0.30836642846874623,MONDO_0005180
570,MRPL36,ENSG00000171421,Q9P0J6,uniprot_swissprot,0.30836642846874623,MONDO_0005180
571,ATXN2,ENSG00000204842,Q99700,uniprot_swissprot,0.3082914736071267,MONDO_0005180
572,ZFAT,ENSG00000066827,Q9P243,uniprot_swissprot,0.30811094918622034,MONDO_0005180
573,RAB29,ENSG00000117280,O14966,uniprot_swissprot,0.30796069957532113,MONDO_0005180
574,NR2F2,ENSG00000185551,P24468,uniprot_swissprot,0.30700384090873656,MONDO_0005180
575,CALU,ENSG00000128595,O43852,uniprot_swissprot,0.3065407698311298,MONDO_0005180
576,MAPK14,ENSG00000112062,Q16539,uniprot_swissprot,0.30631237421597063,MONDO_0005180
577,GLP1R,ENSG00000112164,P43220,uniprot_swissprot,0.3060064461136783,MONDO_0005180
578,FRRS1L,ENSG00000260230,Q9P0K9,uniprot_swissprot,0.3057394961336774,MONDO_0005180
579,NICN1,ENSG00000145029,Q9BSH3,uniprot_swissprot,0.30471972480808185,MONDO_0005180
580,GPX1,ENSG00000233276,P07203,uniprot_swissprot,0.30364670251825415,MONDO_0005180
581,ZNF341,ENSG00000131061,Q9BYN7,uniprot_swissprot,0.30298911084465013,MONDO_0005180
582,MAP3K11,ENSG00000173327,Q16584,uniprot_swissprot,0.302088426521784,MONDO_0005180
583,MBNL2,ENSG00000139793,Q5VZF2,uniprot_swissprot,0.30184451958573094,MONDO_0005180
584,ATP10D,ENSG00000145246,Q9P241,uniprot_swissprot,0.30109147459941293,MONDO_0005180
585,DDR2,ENSG00000162733,Q16832,uniprot_swissprot,0.3010913652078142,MONDO_0005180
586,ZNF628,ENSG00000197483,Q5EBL2,uniprot_swissprot,0.30101255997108317,MONDO_0005180
587,SYT17,ENSG00000103528,Q9BSW7,uniprot_swissprot,0.3007272943603076,MONDO_0005180
588,NSF,ENSG00000073969,P46459,uniprot_swissprot,0.2999506433991923,MONDO_0005180
589,CYB5B,ENSG00000103018,O43169,uniprot_swissprot,0.2996537399408192,MONDO_0005180
590,MYOM2,ENSG00000036448,P54296,uniprot_swissprot,0.29928426035715605,MONDO_0005180
591,REEP5,ENSG00000129625,Q00765,uniprot_swissprot,0.29928426035715605,MONDO_0005180
592,STAT3,ENSG00000168610,P40763,uniprot_swissprot,0.2990859596285431,MONDO_0005180
593,ZNF813,ENSG00000198346,Q6ZN06,uniprot_swissprot,0.2990414972619798,MONDO_0005180
594,E2F1,ENSG00000101412,Q01094,uniprot_swissprot,0.2990414972619798,MONDO_0005180
595,GSTO1,ENSG00000148834,P78417,uniprot_swissprot,0.2977192004701124,MONDO_0005180
596,DIAPH3,ENSG00000139734,Q9NSV4,uniprot_swissprot,0.2974816620444852,MONDO_0005180
